season,franchise_key,team_name,espn_team_id,regular_wins,regular_losses,regular_ties,regular_points_for,regular_points_against,playoff_wins,playoff_losses,final_place,is_champion,is_runner_up,source,source_note
2016,cte-deniers,Boston Double Rainbows,,3,10,0,1380.6,1473.3,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2016,your-worst-nightmares,Your Worst Nightmares,,6,7,0,1310.7,1407.1,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2016,penthouse-panda-bear,The Penthouse Panda Bear,,3,10,0,1237.1,1406.4,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2017,the-penguins,The Penguins,,7,6,0,1441.6,1278.25,3,0,1,yes,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 3 seed, playoff record derived from the 6-team bracket"
2017,brightleaf-yuppies,Brightleaf Yuppies,,11,2,0,1360.95,1128.05,1,1,2,no,yes,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 1 seed, playoff record derived from the 6-team bracket"
2017,raleigh-silly-nannies,W. Durham Silly Nannies,,8,5,0,1221,1129.1,0,1,3,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 2 seed, playoff record derived from the 6-team bracket"
2017,taco-macarthur,Taco MacArthur,,6,7,0,1276.55,1246.8,1,1,4,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 5 seed, playoff record derived from the 6-team bracket"
2017,penthouse-panda-bear,The Penthouse Panda Bear,,6,7,0,1377.95,1284.65,0,1,5,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 4 seed, playoff record derived from the 6-team bracket"
2017,run-and-hide,Run and Hide,,6,7,0,1264.3,1355.25,0,1,6,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; 6 seed, playoff record derived from the 6-team bracket"
2017,cte-deniers,Boston Double Rainbows,,6,7,0,1204.1,1295.3,0,0,7,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2017,p-rivers-nas-nas,P RIVERS NAS NAS,,6,7,0,1157.4,1264.2,0,0,8,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2017,bubbs,Austin Bubbs,,5,8,0,1184.15,1417.95,0,0,9,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2017,your-worst-nightmares,Your Worst Nightmares,,4,9,0,1142.3,1230.75,0,0,10,no,no,manual,"League archive spreadsheet, 2005-2017 final standings and playoff finish order; missed the playoffs"
2018,the-penguins,The Penguins,4,7,6,0,1455.36,1444.52,3,0,1,yes,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2018,cte-deniers,CTE Deniers,10,7,6,0,1431.92,1545.56,2,1,2,no,yes,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2018,bubbs,Austin Bubbs,1,11,2,0,1826.2,1444.83,0,1,3,no,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2018,raleigh-silly-nannies,Raleigh Silly Nannies,9,7,6,0,1591.92,1572.63,0,1,4,no,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2018,taco-macarthur,Taco MacArthur,11,7,6,0,1446.48,1468.73,0,1,5,no,no,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2018,brightleaf-yuppies,Brightleaf Yuppies,8,7,6,0,1509.31,1487.32,0,1,6,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2018,run-and-hide,Run and Hide,2,6,7,0,1398.57,1317.58,0,0,7,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2018,p-rivers-nas-nas,P RIVERS NAS NAS,6,5,8,0,1476.19,1530.37,0,0,8,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2018,your-worst-nightmares,Your Worst Nightmares,3,3,10,0,1242.26,1519.97,0,0,9,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2018,penthouse-panda-bear,The Penthouse Panda Bear,5,5,8,0,1488.53,1535.23,0,0,10,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2019,taco-macarthur,Taco MacArthur,11,10,3,0,1456.91,1390.84,2,0,1,yes,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2019,cte-deniers,CTE Deniers,10,7,6,0,1587.33,1462.08,2,1,2,no,yes,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
